2023-04-08 16:08:43.633 [main] INFO  c.h.security.SecurityApplication - Starting SecurityApplication using Java 17.0.6 with PID 25068 (C:\Users\DELL\Desktop\SpringBoot-Angular\Spring Security\Jwt\SecurityProject\security\target\classes started by DELL in C:\Users\DELL\Desktop\SpringBoot-Angular\Spring Security\Jwt\SecurityProject)
2023-04-08 16:08:43.638 [main] INFO  c.h.security.SecurityApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-08 16:08:44.836 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-04-08 16:08:44.922 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75 ms. Found 1 JPA repository interfaces.
2023-04-08 16:08:45.640 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-08 16:08:45.653 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-08 16:08:45.654 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-04-08 16:08:45.654 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-08 16:08:45.796 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-08 16:08:45.797 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2049 ms
2023-04-08 16:08:45.954 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-04-08 16:08:46.021 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-04-08 16:08:46.402 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-08 16:08:46.827 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6ed51944
